can i have some chili cheese fries?,chili cheese fries
get me some chili cheese fries,chili cheese fries
how about some chili cheese fries,chili cheese fries
chili cheese fries?,chili cheese fries
i'm in the mood for buffalo chicken pizza,buffalo chicken pizza
i want a dog,dog
do they server dog near me?,dog
can i has cheeseburger?,cheeseburger
who has the best french fries?,french fries
know of a place with a root beer float?,root beer float
where can i find root beer floats?,root beer floats
give me a root beer float!!,root beer float
can you get a chipotle for me,chipotle
i want burgers,burgers
is chipotle open?,chipotle
i want to get a taco or burrito,taco burrito
i want to get a taco and burrito but not a quesodilla,taco and burrito
i want to get a taco or burrito,taco burrito
i want to get a taco but not a burrito,taco
i want a taco and burrito but not a quesadilla,taco and burrito
where can i get a taco,taco
where can i get a wingnut ,wingnut
can i has asperigusting ,asperigusting
i want ketchup,ketchup
can i have a baked potato?,baked potato
hello, can i get some tater tots,tater tots
how about some ravioli?,ravioli
chili cheese fries please ,chili cheese fries
peanut butter and jelly would be nice ,peanut butter and jelly
gimme a peanut butter and nutella sandwich ,peanut butter and nutella sandwich
how about a nice grilled cheese sandwich,grilled cheese sandwich
chicken and spinach panini sounds good,chicken and spinach panini
